time (s),acceleration (m/s^2),velocity (m/s),displacement (m)
12.34,-0.3259,0.00685,-0.03827
12.36,-0.22626,0.00138,-0.31732
12.38,-0.24476,-0.00328,-0.15982
12.4,-0.20735,-0.0078,0.03899
12.42,-0.04778,-0.01031,0.17552
12.44,0.15132,-0.00923,0.26444
12.46,0.17582,-0.00592,0.2508
12.48,0.0515,-0.00361,0.19127
12.5,-0.03307,-0.00338,-0.1675
12.52,0.02154,-0.00346,-0.59337
12.54,0.07292,-0.00247,-0.51051
12.56,-0.10489,-0.00275,-0.30168
12.58,-0.20457,-0.0058,-0.49599
12.6,-0.05589,-0.00841,-0.74564
12.62,0.09002,-0.00804,-0.69792
12.64,0.05904,-0.00652,-0.524
12.66,0.02355,-0.00566,-0.3233
12.68,0.13774,-0.00402,-0.22336
12.7,0.22813,-0.00033,-0.23483
12.72,0.32818,0.00526,-0.05021
12.74,0.35498,0.01213,0.33503
12.76,0.21453,0.01785,0.78829
12.78,0.09379,0.02096,1.10514
12.8,0.00864,0.02199,0.89325
12.82,-0.05547,0.02154,0.34447
12.84,-0.03339,0.02067,0.08154
12.86,-0.01027,0.02025,0.2687
12.88,-0.00894,0.02008,0.43945
12.9,0.01793,0.02019,0.34082
12.92,0.00749,0.02046,0.24128
12.94,0.00372,0.0206,0.12958
12.96,-0.01611,0.02049,0.01012
12.98,-0.06145,0.01974,0.10918
13,-0.08215,0.0183,0.22603
13.02,-0.04316,0.01705,0.45856
13.04,-0.0685,0.01594,0.70607
13.06,-0.1511,0.01376,0.79247
13.08,-0.09829,0.01127,0.88829
13.1,-0.03659,0.00993,0.80693
13.12,-0.16479,0.00793,0.52713
13.14,-0.30688,0.00322,0.32772
13.16,-0.13004,-0.00114,0.36836
13.18,0.11016,-0.00133,0.36322
13.2,0.13131,0.00108,0.24959
13.22,0.00947,0.00249,0.15755
13.24,-0.10349,0.00155,-0.04983
13.26,-0.1187,-0.00068,-0.24947
13.28,-0.1203,-0.00307,-0.22796
13.3,-0.05822,-0.00486,-0.19569
13.32,0.08267,-0.00461,-0.1414
13.34,0.14634,-0.00232,-0.26113
13.36,0.16041,0.00074,-0.56499
13.38,0.09147,0.00326,-0.61798
13.4,-0.03285,0.00385,-0.40369
13.42,-0.10166,0.00249,-0.44848
13.44,-0.11818,0.00028,-0.71868
13.46,-0.09372,-0.00184,-0.74739
13.48,-0.04949,-0.00329,-0.412
13.5,-0.04328,-0.00422,-0.0212
13.52,-0.01848,-0.00485,0.08232
13.54,0.14854,-0.00356,0.19274
13.56,0.32036,0.00112,0.22085
13.58,0.41505,0.00846,-0.13315
13.6,0.43192,0.01693,-0.23256
13.62,0.3018,0.02425,0.11556
13.64,0.14952,0.02875,0.33394
13.66,0.12584,0.03149,0.4255
13.68,0.17271,0.03446,0.31208
13.7,0.04496,0.03662,-0.14188
13.72,-0.1492,0.03556,-0.08344
13.74,-0.14041,0.03265,0.51322
13.76,-0.12274,0.03,0.58069
13.78,-0.21198,0.02663,0.54874
13.8,-0.26682,0.02184,0.74224
13.82,-0.21157,0.01704,0.78999
13.84,-0.17371,0.01316,0.77191
13.86,-0.21818,0.00922,0.7186
